match_id,team1,team2,goal_diff,rank_diff,age_diff,value_diff,titles_diff,host_diff,rest_diff,same_confed,knockout
72,DR Congo,Uzbekistan,2,-4,0.8000000000000007,58.57000000000001,0,0,0.0,0,0
73,South Africa,Canada,-1,30,-0.09999999999999787,-149.4,0,-1,0.0,0,1
74,Germany,Paraguay,0,-31,-1.1999999999999993,793.35,4,0,0.0,0,1
75,Netherlands,Morocco,0,1,1.1000000000000014,306.50000000000006,0,0,-1.0,0,1
76,Brazil,Japan,1,-12,1.8000000000000007,657.35,5,0,1.0,0,1
77,France,Sweden,3,-35,-0.5,1113.92,2,0,-1.0,1,1
78,Ivory Coast,Norway,-1,2,-1.3000000000000007,-67.79999999999995,0,0,1.0,0,1
79,Mexico,Ecuador,2,-9,1.3999999999999986,-176.85,0,1,1.0,0,1
80,England,DR Congo,1,-42,-1.8000000000000007,1216.1,1,0,0.0,0,1
81,USA,Bosnia and Herzegovina,2,-47,0.8999999999999986,239.20000000000002,0,1,-1.0,0,1
82,Belgium,Senegal,1,-6,0.5,69.39999999999998,0,0,0.0,0,1
83,Portugal,Croatia,1,-6,0.0,622.7,0,0,0.0,1,1
84,Spain,Austria,3,-22,-1.5,974.8,1,0,1.0,1,1
85,Switzerland,Algeria,2,-9,1.5,75.60000000000002,0,0,3.0,0,1
86,Argentina,Cape Verde,1,-66,-0.8999999999999986,758.25,3,0,-1.0,0,1
87,Colombia,Ghana,1,-60,3.1999999999999993,67.85000000000002,0,0,0.0,0,1
88,Australia,Egypt,0,-2,-1.6999999999999993,-39.03,0,0,1.0,0,1
89,Paraguay,France,-1,38,2.0,-1366.35,-2,0,1.0,0,1
90,Canada,Morocco,-3,23,0.3000000000000007,-249.04999999999998,0,1,1.0,0,1
91,Brazil,Norway,-1,-25,2.5,338.30000000000007,5,0,1.0,0,1
92,Mexico,England,-1,10,0.1999999999999993,-1168.15,-1,1,1.0,0,1
93,Portugal,Spain,-1,3,1.3000000000000007,-210.0,-1,0,0.0,1,1
94,USA,Belgium,-3,8,-0.6999999999999993,-161.89999999999998,0,1,0.0,0,1
95,Argentina,Egypt,1,-28,-0.3000000000000007,691.02,3,0,0.0,0,1
96,Switzerland,Colombia,0,6,-1.7999999999999972,30.149999999999977,0,0,1.0,0,1
97,France,Morocco,2,-4,0.40000000000000213,1072.3,2,0,0.0,0,1
98,Spain,Belgium,1,-7,-0.8999999999999986,672.5,1,0,0.0,1,1
99,Norway,England,-1,27,-0.3999999999999986,-770.1,-1,0,0.0,1,1
100,Argentina,Switzerland,2,-18,0.3999999999999986,475.0,3,0,0.0,0,1
101,France,Spain,-2,1,0.3000000000000007,300.0,1,0,1.0,1,1
102,England,Argentina,-1,3,-1.5,552.5,-2,0,0.0,0,1
103,France,England,-2,-1,-0.1999999999999993,160.0,1,0,1.0,1,1
104,Spain,Argentina,1,1,-2.0,412.5,-2,0,1.0,0,1
