match_id,team,opponent,goals,team_rank,opp_rank,team_value,opp_value,team_age,is_host,rest_days,knockout
41,Senegal,Norway,2,15,31,478.1,589.9,27.4,0,6.0,0
42,France,Iraq,3,3,57,1520.0,21.2,27.3,0,6.0,0
42,Iraq,France,0,57,3,21.2,1520.0,27.2,0,6.0,0
43,Argentina,Austria,2,1,24,807.5,245.2,29.0,0,6.0,0
43,Austria,Argentina,0,24,1,245.2,807.5,28.5,0,6.0,0
44,Jordan,Algeria,1,63,28,20.3,256.9,28.7,0,6.0,0
44,Algeria,Jordan,2,28,63,256.9,20.3,27.1,0,6.0,0
45,England,Ghana,0,4,73,1360.0,234.5,27.5,0,6.0,0
45,Ghana,England,0,73,4,234.5,1360.0,27.2,0,6.0,0
46,Panama,Croatia,0,34,11,34.55,387.3,30.7,0,6.0,0
46,Croatia,Panama,1,11,34,387.3,34.55,28.3,0,6.0,0
47,Portugal,Uzbekistan,5,5,50,1010.0,85.33,28.3,0,6.0,0
47,Uzbekistan,Portugal,0,50,5,85.33,1010.0,28.5,0,6.0,0
48,Colombia,DR Congo,1,13,46,302.35,143.9,30.4,0,6.0,0
48,DR Congo,Colombia,0,46,13,143.9,302.35,29.3,0,6.0,0
49,Scotland,Brazil,0,42,6,170.25,928.2,29.5,0,5.0,0
49,Brazil,Scotland,3,6,42,928.2,170.25,29.6,0,5.0,0
50,Morocco,Haiti,4,7,83,447.7,55.9,26.9,0,5.0,0
50,Haiti,Morocco,2,83,7,55.9,447.7,27.8,0,5.0,0
51,Switzerland,Canada,2,19,30,332.5,198.65,28.6,0,6.0,0
51,Canada,Switzerland,1,30,19,198.65,332.5,27.2,1,6.0,0
52,Bosnia and Herzegovina,Qatar,3,64,56,146.4,19.93,26.3,0,6.0,0
52,Qatar,Bosnia and Herzegovina,1,56,64,19.93,146.4,29.7,0,6.0,0
53,Czechia,Mexico,0,40,14,188.18,191.85,27.9,0,6.0,0
53,Mexico,Czechia,3,14,40,191.85,188.18,27.7,1,6.0,0
54,South Africa,South Korea,1,60,25,49.25,139.05,27.1,0,6.0,0
54,South Korea,South Africa,0,25,60,139.05,49.25,28.3,0,6.0,0
55,Curacao,Ivory Coast,0,82,33,25.78,522.1,28.3,0,5.0,0
55,Ivory Coast,Curacao,2,33,82,522.1,25.78,25.8,0,5.0,0
56,Ecuador,Germany,2,23,10,368.7,947.0,26.3,0,5.0,0
56,Germany,Ecuador,1,10,23,947.0,368.7,28.1,0,5.0,0
57,Japan,Sweden,1,18,38,270.85,406.08,27.8,0,5.0,0
57,Sweden,Japan,1,38,18,406.08,270.85,27.8,0,5.0,0
58,Tunisia,Netherlands,1,45,8,69.95,754.2,26.9,0,5.0,0
58,Netherlands,Tunisia,3,8,45,754.2,69.95,28.0,0,5.0,0
59,Turkiye,USA,3,22,17,473.7,385.6,27.9,0,6.0,0
59,USA,Turkiye,2,17,22,385.6,473.7,27.2,1,6.0,0
60,Paraguay,Australia,0,41,27,153.65,77.45,29.3,0,6.0,0
60,Australia,Paraguay,0,27,41,77.45,153.65,27.6,0,6.0,0
61,Norway,France,1,31,3,589.9,1520.0,27.1,0,4.0,0
61,France,Norway,4,3,31,1520.0,589.9,27.3,0,4.0,0
62,Senegal,Iraq,5,15,57,478.1,21.2,27.4,0,4.0,0
62,Iraq,Senegal,0,57,15,21.2,478.1,27.2,0,4.0,0
63,Egypt,Iran,1,29,20,116.48,32.05,29.3,0,5.0,0
63,Iran,Egypt,1,20,29,32.05,116.48,30.6,0,5.0,0
64,New Zealand,Belgium,1,85,9,34.45,547.5,28.5,0,5.0,0
64,Belgium,New Zealand,5,9,85,547.5,34.45,27.9,0,5.0,0
65,Cape Verde,Saudi Arabia,0,67,61,49.25,40.68,29.9,0,5.0,0
65,Saudi Arabia,Cape Verde,0,61,67,40.68,49.25,28.8,0,5.0,0
66,Uruguay,Spain,0,16,2,359.3,1220.0,29.0,0,5.0,0
66,Spain,Uruguay,1,2,16,1220.0,359.3,27.0,0,5.0,0
67,Panama,England,0,34,4,34.55,1360.0,30.7,0,4.0,0
67,England,Panama,2,4,34,1360.0,34.55,27.5,0,4.0,0
68,Croatia,Ghana,2,11,73,387.3,234.5,28.3,0,4.0,0
68,Ghana,Croatia,1,73,11,234.5,387.3,27.2,0,4.0,0
69,Algeria,Austria,3,28,24,256.9,245.2,27.1,0,5.0,0
69,Austria,Algeria,3,24,28,245.2,256.9,28.5,0,5.0,0
70,Jordan,Argentina,1,63,1,20.3,807.5,28.7,0,5.0,0
70,Argentina,Jordan,3,1,63,807.5,20.3,29.0,0,5.0,0
71,Colombia,Portugal,0,13,5,302.35,1010.0,30.4,0,4.0,0
71,Portugal,Colombia,0,5,13,1010.0,302.35,28.3,0,4.0,0
72,DR Congo,Uzbekistan,3,46,50,143.9,85.33,29.3,0,4.0,0
72,Uzbekistan,DR Congo,1,50,46,85.33,143.9,28.5,0,4.0,0
73,South Africa,Canada,0,60,30,49.25,198.65,27.1,0,4.0,1
73,Canada,South Africa,1,30,60,198.65,49.25,27.2,1,4.0,1
74,Germany,Paraguay,1,10,41,947.0,153.65,28.1,0,4.0,1
74,Paraguay,Germany,1,41,10,153.65,947.0,29.3,0,4.0,1
75,Netherlands,Morocco,1,8,7,754.2,447.7,28.0,0,4.0,1
75,Morocco,Netherlands,1,7,8,447.7,754.2,26.9,0,5.0,1
76,Brazil,Japan,2,6,18,928.2,270.85,29.6,0,5.0,1
76,Japan,Brazil,1,18,6,270.85,928.2,27.8,0,4.0,1
77,France,Sweden,3,3,38,1520.0,406.08,27.3,0,4.0,1
77,Sweden,France,0,38,3,406.08,1520.0,27.8,0,5.0,1
78,Ivory Coast,Norway,1,33,31,522.1,589.9,25.8,0,5.0,1
78,Norway,Ivory Coast,2,31,33,589.9,522.1,27.1,0,4.0,1
79,Mexico,Ecuador,2,14,23,191.85,368.7,27.7,1,6.0,1
79,Ecuador,Mexico,0,23,14,368.7,191.85,26.3,0,5.0,1
80,England,DR Congo,2,4,46,1360.0,143.9,27.5,0,4.0,1
80,DR Congo,England,1,46,4,143.9,1360.0,29.3,0,4.0,1
81,USA,Bosnia and Herzegovina,2,17,64,385.6,146.4,27.2,1,6.0,1
81,Bosnia and Herzegovina,USA,0,64,17,146.4,385.6,26.3,0,7.0,1
82,Belgium,Senegal,3,9,15,547.5,478.1,27.9,0,5.0,1
82,Senegal,Belgium,2,15,9,478.1,547.5,27.4,0,5.0,1
83,Portugal,Croatia,2,5,11,1010.0,387.3,28.3,0,5.0,1
83,Croatia,Portugal,1,11,5,387.3,1010.0,28.3,0,5.0,1
84,Spain,Austria,3,2,24,1220.0,245.2,27.0,0,6.0,1
84,Austria,Spain,0,24,2,245.2,1220.0,28.5,0,5.0,1
85,Switzerland,Algeria,2,19,28,332.5,256.9,28.6,0,8.0,1
85,Algeria,Switzerland,0,28,19,256.9,332.5,27.1,0,5.0,1
86,Argentina,Cape Verde,3,1,67,807.5,49.25,29.0,0,6.0,1
86,Cape Verde,Argentina,2,67,1,49.25,807.5,29.9,0,7.0,1
87,Colombia,Ghana,1,13,73,302.35,234.5,30.4,0,6.0,1
87,Ghana,Colombia,0,73,13,234.5,302.35,27.2,0,6.0,1
88,Australia,Egypt,1,27,29,77.45,116.48,27.6,0,8.0,1
88,Egypt,Australia,1,29,27,116.48,77.45,29.3,0,7.0,1
89,Paraguay,France,0,41,3,153.65,1520.0,29.3,0,5.0,1
89,France,Paraguay,1,3,41,1520.0,153.65,27.3,0,4.0,1
90,Canada,Morocco,0,30,7,198.65,447.7,27.2,1,6.0,1
90,Morocco,Canada,3,7,30,447.7,198.65,26.9,0,5.0,1
91,Brazil,Norway,1,6,31,928.2,589.9,29.6,0,6.0,1
91,Norway,Brazil,2,31,6,589.9,928.2,27.1,0,5.0,1
92,Mexico,England,2,14,4,191.85,1360.0,27.7,1,5.0,1
92,England,Mexico,3,4,14,1360.0,191.85,27.5,0,4.0,1
93,Portugal,Spain,0,5,2,1010.0,1220.0,28.3,0,4.0,1
93,Spain,Portugal,1,2,5,1220.0,1010.0,27.0,0,4.0,1
94,USA,Belgium,1,17,9,385.6,547.5,27.2,1,5.0,1
94,Belgium,USA,4,9,17,547.5,385.6,27.9,0,5.0,1
95,Argentina,Egypt,3,1,29,807.5,116.48,29.0,0,4.0,1
95,Egypt,Argentina,2,29,1,116.48,807.5,29.3,0,4.0,1
96,Switzerland,Colombia,0,19,13,332.5,302.35,28.6,0,5.0,1
96,Colombia,Switzerland,0,13,19,302.35,332.5,30.4,0,4.0,1
97,France,Morocco,2,3,7,1520.0,447.7,27.3,0,5.0,1
97,Morocco,France,0,7,3,447.7,1520.0,26.9,0,5.0,1
98,Spain,Belgium,2,2,9,1220.0,547.5,27.0,0,4.0,1
98,Belgium,Spain,1,9,2,547.5,1220.0,27.9,0,4.0,1
99,Norway,England,1,31,4,589.9,1360.0,27.1,0,6.0,1
99,England,Norway,2,4,31,1360.0,589.9,27.5,0,6.0,1
100,Argentina,Switzerland,3,1,19,807.5,332.5,29.0,0,4.0,1
100,Switzerland,Argentina,1,19,1,332.5,807.5,28.6,0,4.0,1
101,France,Spain,0,3,2,1520.0,1220.0,27.3,0,5.0,1
101,Spain,France,2,2,3,1220.0,1520.0,27.0,0,4.0,1
102,England,Argentina,1,4,1,1360.0,807.5,27.5,0,4.0,1
102,Argentina,England,2,1,4,807.5,1360.0,29.0,0,4.0,1
103,France,England,4,3,4,1520.0,1360.0,27.3,0,4.0,1
103,England,France,6,4,3,1360.0,1520.0,27.5,0,3.0,1
104,Spain,Argentina,1,2,1,1220.0,807.5,27.0,0,5.0,1
104,Argentina,Spain,0,1,2,807.5,1220.0,29.0,0,4.0,1
